koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_impact,koi_model_snr,koi_steff,koi_slogg,ra,dec
2,0.0,0,1,0,0.733,389.0,5690.0,4.588,283.53845,40.217999
0,0.4808294015396076,0,0,0,1.5734,89.6,6228.0,4.428,296.00699,40.295429
1,1.0,0,0,0,0.692,166.0,4986.0,4.496,283.25354,40.358189
1,1.0,0,0,0,0.047,39.3,4861.0,4.574,283.22141,40.421829
1,1.0,0,0,0,0.258,21.3,4861.0,4.574,283.22141,40.421829
1,1.0,0,0,0,0.524,70.8,5776.0,4.554,291.14951,40.420521
2,0.037,0,0,1,0.941,50.3,6108.0,4.471,294.22397,40.417858
2,0.0,0,0,1,1.241,110.2,5764.0,4.548,298.96112,40.862808
1,1.0,0,0,0,0.736,568.2,5035.0,4.519,299.3161,40.82238
1,1.0,0,0,0,0.773,86.6,5251.0,4.581,292.23676,41.08588
1,0.998,0,0,0,0.706,14.7,5847.0,4.191,297.02826,48.208611
1,1.0,0,0,0,0.798,117.2,5251.0,4.581,292.23676,41.08588
2,0.006,0,1,0,0.709,323.4,5810.0,4.526,294.05676,40.549679
2,0.0,0,1,0,0.377,1671.1,5670.0,4.523,294.74396,40.53392
2,0.0,0,1,0,1.276,117.2,6046.0,4.539,295.50439,40.505489
1,0.999,0,0,0,0.008,266.3,5739.0,4.191,287.89713,40.637821
1,0.996,0,0,0,0.014,49.1,5739.0,4.191,287.89713,40.637821
1,0.997,0,0,0,0.235,35.1,5739.0,4.191,287.89713,40.637821
1,1.0,0,0,0,0.746,19.9,5739.0,4.191,287.89713,40.637821
1,0.995,0,0,0,0.196,50.4,5847.0,4.191,297.02826,48.208611
1,0.989,0,0,0,0.379,19.4,5739.0,4.191,287.89713,40.637821
1,1.0,0,0,0,0.048,48.9,4959.0,4.603,294.20215,40.66341
1,0.878,0,0,0,0.7,20.9,4959.0,4.603,294.20215,40.66341
2,0.0,0,1,1,1.178,50.5,4794.0,4.58,299.64285,40.691238
1,1.0,0,0,0,0.3,38.4,4768.0,4.536,291.15878,40.750271
1,1.0,0,0,0,0.004,22.8,4768.0,4.536,291.15878,40.750271
2,0.0,0,1,0,1.259,269.7,6072.0,4.47,292.21436,40.759762
1,0.999,0,0,0,0.644,482.3,5386.0,4.553,293.87811,41.66177
1,1.0,0,0,0,0.045,99.5,5815.0,4.54,299.18686,41.74268
1,0.876,0,0,0,0.926,35.9,5653.0,4.472,283.31638,41.83712
1,1.0,0,0,0,0.823,54.4,5015.0,4.499,286.5657,41.808399
1,1.0,0,0,0,0.97,25.7,5015.0,4.499,286.5657,41.808399
0,1.0,0,0,0,0.644,24.8,5251.0,4.581,292.23676,41.08588
1,1.0,0,0,0,0.427,52.7,4702.0,4.592,292.91312,41.060921
1,0.999,0,0,0,0.26,51.7,4702.0,4.592,292.91312,41.060921
1,1.0,0,0,0,0.458,240.6,6073.0,4.392,293.49661,41.137589
1,1.0,0,0,0,0.023,116.1,5727.0,4.463,283.86441,41.346458
1,1.0,0,0,0,0.791,74.6,5878.0,4.444,288.51001,41.301769
1,0.985,0,0,0,0.782,748.1,5862.0,4.584,296.88821,41.396091
1,0.942,0,0,0,0.527,160.9,5510.0,4.222,287.1543,41.565788
2,0.0,0,1,1,1.266,122.1,4968.0,4.575,284.86929,41.679192
1,0.912,0,0,0,0.686,62.0,5718.0,4.181,287.36279,38.649601
1,1.0,0,0,0,0.029,49.2,5501.0,4.462,288.9942,41.633282
1,1.0,0,0,0,0.867,62.6,5239.0,4.523,292.10519,42.380322
0,0.998,0,0,0,0.778,271.8,4245.0,4.627,293.00797,42.307201
1,1.0,0,0,0,0.02,53.0,5103.0,4.562,291.63898,42.436321
1,1.0,0,0,0,0.035,45.5,5103.0,4.562,291.63898,42.436321
1,1.0,0,0,0,0.594,22.6,5103.0,4.562,291.63898,42.436321
1,0.996,0,0,0,0.018,27.4,3593.0,4.757,289.50848,41.812119
1,0.974,0,0,0,0.377,907.8,5522.0,4.586,291.76041,41.944069
0,0.994,0,0,0,0.881,561.1,6122.0,4.487,293.17929,41.969238
1,1.0,0,0,0,0.348,59.4,5237.0,4.572,285.11047,42.033958
1,0.959,0,0,0,0.035,355.7,5626.0,3.907,294.55917,46.062328
1,0.994,0,0,0,0.957,10.7,5237.0,4.572,285.11047,42.033958
0,0.0,0,0,0,1.081,184.1,5697.0,4.46,289.89777,42.009151
2,0.0,0,1,1,0.23,51.7,4947.0,4.516,286.24356,42.148811
1,1.0,0,0,0,0.128,30.7,5265.0,4.58,290.00757,42.116459
2,0.0,0,1,0,0.211,1630.4,5532.0,4.53,284.08731,42.233231
1,1.0,0,0,0,0.026,64.8,5895.0,4.503,293.81647,42.212502
1,1.0,0,0,0,0.196,86.1,5527.0,4.484,287.24268,42.301369
1,1.0,0,0,0,0.383,37.8,5527.0,4.484,287.24268,42.301369
1,1.0,0,0,0,0.9,21.1,5527.0,4.484,287.24268,42.301369
0,1.0,0,0,0,0.076,223.5,5453.0,4.342,291.58377,42.36816
1,0.987,0,0,0,0.812,139.3,5626.0,3.907,294.55917,46.062328
2,0.0,0,1,1,0.965,58.3,6126.0,4.458,291.67172,42.343109
1,1.0,0,0,0,0.03,88.0,5427.0,4.463,292.87338,42.966141
1,0.983,0,0,0,0.183,155.5,5427.0,4.463,292.87338,42.966141
1,1.0,0,0,0,0.209,59.3,5427.0,4.463,292.87338,42.966141
1,1.0,0,0,0,0.479,41.4,5427.0,4.463,292.87338,42.966141
1,1.0,0,0,0,0.036,62.4,5067.0,4.585,294.90973,42.935261
1,1.0,0,0,0,0.06,30.5,5103.0,4.562,291.63898,42.436321
1,1.0,0,0,0,0.17,62.8,4072.0,4.696,292.13702,42.42942
1,1.0,0,0,0,0.008,51.8,4072.0,4.696,292.13702,42.42942
0,0.0,0,0,0,0.897,307.5,5875.0,4.572,291.11969,42.507069
2,0.573,0,1,0,0.95,18.5,5670.0,4.206,294.40192,50.172089
1,1.0,0,0,0,0.67,247.9,5149.0,4.447,289.26874,42.604172
1,1.0,0,0,0,0.429,29.2,5149.0,4.447,289.26874,42.604172
1,1.0,0,0,0,0.025,39.7,5754.0,4.345,291.96417,42.69614
1,1.0,0,0,0,0.567,60.8,4986.0,4.496,296.48343,42.663429
1,0.997,0,0,0,0.387,21.9,4986.0,4.496,296.48343,42.663429
0,1.0,0,0,0,0.705,157.8,3837.0,4.747,296.69394,42.62611
2,0.0,0,1,0,7.361,192.3,5612.0,4.566,287.88412,42.832439
1,1.0,0,0,0,0.327,87.2,4261.0,4.641,293.63696,42.82497
1,1.0,0,0,0,0.286,57.6,4261.0,4.641,293.63696,42.82497
1,0.998,0,0,0,0.706,14.9,4261.0,4.641,293.63696,42.82497
2,0.0,0,1,1,1.223,76.8,6200.0,3.8,294.46088,38.383461
1,1.0,0,0,0,0.926,53.3,4919.0,4.566,297.46002,42.83992
1,1.0,0,0,0,0.833,125.6,5945.0,4.213,290.39273,40.28487
1,1.0,0,0,0,0.537,64.5,5121.0,4.457,290.39322,43.363899
1,1.0,0,0,0,0.836,15.0,5121.0,4.457,290.39322,43.363899
1,1.0,0,0,0,0.899,45.1,6007.0,4.457,292.96555,43.34639
2,0.0,0,1,1,0.942,60.4,5811.0,4.521,299.00143,43.399632
1,1.0,0,0,0,0.731,46.8,5067.0,4.585,294.90973,42.935261
2,0.0,0,1,0,1.091,125.4,5209.0,4.657,295.83536,42.943062
0,0.997,0,0,0,0.001,1011.6,4820.0,4.667,296.68307,42.967869
1,1.0,0,0,0,0.049,175.2,5097.0,4.597,288.64252,43.039291
1,1.0,0,0,0,0.0,142.0,5644.0,4.162,284.48245,44.398041
1,0.0,0,0,0,0.497,52.7,5097.0,4.597,288.64252,43.039291
1,1.0,0,0,0,0.252,41.6,5097.0,4.597,288.64252,43.039291
