kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
6449291,K06713.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,0,1,5.776873400,1.2170000e-04,-1.2170000e-04,133.6218000,1.970000e-02,-1.970000e-02,0.9940,0.0410,-0.7550,5.76200,0.46100,-0.46100,7.1000e+01,8.300e+00,-8.300e+00,3.13,1.070e+00,-1.980e+00,1399.0,,,905.00,966.74,-796.74,10.10,1,q1_q17_dr25_tce,5473.00,194.00,-155.00,3.796,0.697,-0.232,2.1620,0.7380,-1.3700,293.878630,41.856449,13.712
6449552,K06714.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,20.148807707,1.4220000e-06,-1.4220000e-06,135.8116283,5.770000e-05,-5.770000e-05,0.2150,0.0040,0.0000,8.52557,0.00334,-0.00334,5.2695e+05,2.530e+02,-2.530e+02,68.52,1.701e+01,-9.180e+00,631.0,,,37.55,28.29,-12.61,3487.50,1,q1_q17_dr25_tce,5547.00,166.00,-166.00,4.447,0.098,-0.168,0.9180,0.2280,-0.1230,293.948940,41.855461,14.904
6452742,K06715.01,,FALSE POSITIVE,FALSE POSITIVE,0.6100,0,1,0,0,0.687772143,7.9000000e-08,-7.9000000e-08,131.8669185,9.490000e-05,-9.490000e-05,1.1660,0.0330,-0.0420,2.56725,0.00387,-0.00387,4.0368e+04,4.020e+01,-4.020e+01,46.27,1.201e+01,-8.030e+00,2097.0,,,4569.67,3493.56,-1807.95,679.80,1,q1_q17_dr25_tce,5885.00,159.00,-177.00,4.413,0.144,-0.176,0.9330,0.2420,-0.1620,294.883510,41.800461,14.726
6464285,K06716.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,0.843651274,4.3000000e-08,-4.3000000e-08,131.9478111,4.240000e-05,-4.240000e-05,0.4050,0.0110,-0.0070,2.80468,0.00133,-0.00133,3.0545e+05,1.690e+02,-1.690e+02,39.98,3.850e+00,-3.850e+00,1553.0,,,1371.12,462.54,-367.76,1509.30,1,q1_q17_dr25_tce,5220.00,141.00,-141.00,4.578,0.084,-0.052,0.6950,0.0670,-0.0670,297.670960,41.875980,13.826
6466939,K06717.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,1.142946648,1.0000000e-07,-1.0000000e-07,131.9010021,7.370000e-05,-7.370000e-05,0.4790,0.0150,-0.0090,3.40234,0.00326,-0.00326,4.1255e+05,2.310e+02,-2.310e+02,43.50,3.360e+00,-3.010e+00,1293.0,,,660.96,201.92,-153.56,1054.40,1,q1_q17_dr25_tce,5058.00,151.00,-151.00,4.651,0.060,-0.035,0.6080,0.0470,-0.0420,298.257480,41.850639,14.454
6468938,K06718.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,7.217010987,7.0300000e-07,-7.0300000e-07,135.4523674,8.060000e-05,-8.060000e-05,1.2870,0.0190,-0.2350,4.42150,0.00538,-0.00538,7.8714e+04,6.390e+01,-6.390e+01,89.71,2.541e+01,-2.311e+01,1096.0,,,341.36,283.87,-174.77,1307.00,1,q1_q17_dr25_tce,6047.00,163.00,-181.00,4.246,0.220,-0.180,1.2110,0.3430,-0.3120,298.690000,41.880852,13.272
8429014,K07885.01,,FALSE POSITIVE,FALSE POSITIVE,0.0010,0,0,1,0,9.728696270,9.1360000e-05,-9.1360000e-05,140.7157100,8.360000e-03,-8.360000e-03,1.2740,37.8500,-0.4030,5.62800,0.41000,-0.41000,2.5220e+02,1.600e+01,-1.600e+01,42.47,1.572e+01,-5.250e+00,1126.0,,,379.75,405.32,-130.48,19.10,1,q1_q17_dr25_tce,6881.00,168.00,-265.00,4.301,0.072,-0.217,1.3510,0.5000,-0.1670,291.173800,44.449799,13.542
7200301,K06844.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,1,0.566791802,4.1450000e-06,-4.1450000e-06,131.8173600,7.200000e-03,-7.200000e-03,0.6790,0.0140,-0.5360,2.20000,0.15500,-0.15500,4.9300e+01,3.700e+00,-3.700e+00,0.66,1.600e-01,-6.000e-02,2040.0,,,4113.39,2967.37,-1080.33,15.60,1,q1_q17_dr25_tce,5691.00,152.00,-169.00,4.544,0.033,-0.176,0.8870,0.2170,-0.0780,291.768280,42.757221,14.702
7203179,K06845.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,2.245738777,2.2800000e-07,-2.2800000e-07,133.2650421,8.350000e-05,-8.350000e-05,0.3970,0.0040,-0.0030,8.61629,0.00562,-0.00562,4.8349e+05,2.360e+02,-2.360e+02,99.05,3.284e+01,-1.646e+01,1737.0,,,2156.25,2044.31,-844.70,2121.80,1,q1_q17_dr25_tce,6508.00,155.00,-214.00,4.287,0.105,-0.195,1.3120,0.4350,-0.2180,292.688810,42.748001,13.432
7203194,K06846.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,2.245721170,2.3350000e-05,-2.3350000e-05,133.2667800,9.480000e-03,-9.480000e-03,0.5960,0.3730,-0.3720,3.88000,0.30200,-0.30200,4.8200e+01,4.200e+00,-4.200e+00,0.74,2.200e-01,-8.000e-02,1479.0,,,1131.64,955.82,-345.22,13.60,1,q1_q17_dr25_tce,6158.00,150.00,-214.00,4.455,0.052,-0.195,1.0260,0.3020,-0.1080,292.693760,42.760899,14.244
