kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
11966643,K05946.01,,CANDIDATE,CANDIDATE,,0,0,0,0,183.380484520,,,298.0782368,,,,,,3.25000,,,,,,,,,,,,,,,,1,q1_q16_tce,,,,,,,,,,293.522640,50.308079,13.612
11968514,K05947.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,1.036592136,5.1400000e-07,-5.1400000e-07,132.0895450,4.340000e-04,-4.340000e-04,1.2500,1.1900,-0.1880,2.29600,0.02170,-0.02170,2.1182e+03,1.640e+01,-1.640e+01,293.01,5.038e+01,-7.557e+01,4194.0,,,73013.77,32116.38,-35125.08,150.60,1,q1_q17_dr25_tce,4884.00,58.00,-72.00,2.737,0.162,-0.108,8.7470,1.5040,-2.2560,294.361720,50.307598,11.449
12007270,K05948.01,,CANDIDATE,CANDIDATE,,0,0,0,0,398.513120000,1.9300000e-02,-1.9300000e-02,165.2177000,3.880000e-02,-3.880000e-02,0.5091,0.4959,-0.2889,5.41000,1.10000,-1.10000,2.4920e+02,6.040e+01,-6.040e+01,1.23,5.500e-01,-8.000e-02,222.0,,,0.58,0.77,-0.12,5.90,1,q1_q16_tce,5776.00,161.00,-140.00,4.596,0.029,-0.287,0.7590,0.3390,-0.0500,288.182560,50.498360,13.843
12009917,K05949.01,,CANDIDATE,CANDIDATE,,0,0,0,0,559.785594000,8.7320000e-03,-8.7320000e-03,433.1966000,1.460000e-02,-1.460000e-02,0.4110,0.0489,-0.4108,3.49600,0.50400,-0.50400,2.7480e+02,4.350e+01,-4.350e+01,1.88,8.900e-01,-2.400e-01,249.0,,,0.92,1.28,-0.30,7.30,1,q1_q16_tce,6201.00,154.00,-188.00,4.352,0.101,-0.290,1.1110,0.5280,-0.1420,289.685490,50.409229,13.295
12020376,K05950.01,,CANDIDATE,CANDIDATE,,0,0,0,0,109.439460000,3.0220000e-03,-3.0220000e-03,223.4128000,2.360000e-02,-2.360000e-02,0.0905,0.3729,-0.0903,3.80100,0.84000,-0.84000,1.8710e+02,3.040e+01,-3.040e+01,1.00,2.500e-01,-7.000e-02,314.0,,,2.31,1.78,-0.52,7.30,1,q1_q16_tce,5359.00,170.00,-137.00,4.611,0.028,-0.152,0.7410,0.1860,-0.0530,295.480100,50.421280,13.718
12066767,K05951.01,,CANDIDATE,CANDIDATE,,0,0,0,0,194.258353420,,,288.4461343,,,,,,3.15000,,,,,,,,,,,,,,,,1,q1_q16_tce,,,,,,,,,,294.170590,50.593632,15.779
12071775,K05952.01,,CANDIDATE,CANDIDATE,,0,0,0,0,164.507439000,4.5200000e-03,-4.5200000e-03,212.7605000,2.090000e-02,-2.090000e-02,0.3819,0.0915,-0.3818,11.42800,0.62300,-0.62300,4.3380e+02,4.510e+01,-4.510e+01,2.15,7.700e-01,-3.100e-01,346.0,,,3.39,3.63,-1.19,11.70,1,q1_q16_tce,5866.00,169.00,-175.00,4.382,0.114,-0.246,1.0200,0.3680,-0.1460,296.408870,50.585171,15.025
12102775,K05953.01,,CANDIDATE,CANDIDATE,,0,0,0,0,370.847860000,1.0900000e-02,-1.0900000e-02,260.7921000,1.980000e-02,-1.980000e-02,0.8847,0.0061,-0.6280,13.96600,0.78000,-0.78000,1.4400e+03,1.060e+02,-1.060e+02,4.03,1.130e+00,-2.600e-01,219.0,,,0.54,0.47,-0.11,15.20,1,q1_q16_tce,5291.00,169.00,-140.00,4.539,0.027,-0.215,0.8860,0.2490,-0.0570,286.399440,50.625679,15.479
12105086,K05954.01,,CANDIDATE,CANDIDATE,,0,0,0,0,73.908995000,1.8850000e-03,-1.8850000e-03,159.8067000,2.220000e-02,-2.220000e-02,0.4947,0.0429,-0.4491,3.91600,0.79600,-0.79600,1.0050e+02,2.130e+01,-2.130e+01,0.94,3.900e-01,-8.000e-02,421.0,,,7.44,8.86,-1.85,7.00,1,q1_q16_tce,5865.00,146.00,-170.00,4.518,0.033,-0.296,0.9180,0.3760,-0.0740,288.055730,50.653690,13.144
12110901,K05955.01,,CANDIDATE,CANDIDATE,,0,0,0,0,96.325614560,,,153.0316267,,,,,,2.28000,,,,,,,,,,,,,,,,1,q1_q16_tce,,,,,,,,,,291.599880,50.635891,14.451
